検証軸,条件,ブロック,3枝パターン,出走数,勝率,市場期待勝率,勝A_E,勝z,複勝率,市場期待複勝率,複勝A_E,複勝z,単勝回収率,勝期待判定,複勝期待判定
競馬場×クッション値階層,函館×低,父ブロック,地地地,1411,0.0815024805102764,0.0796098781452805,1.0237734613981204,0.2808502410382726,0.21686746987951808,0.23771957207745076,0.9122827707634484,-2.169518972479185,78.22111977321049,中立,やや弱
競馬場×クッション値階層,中京×やや高,母父ブロック,極極地,875,0.09028571428571429,0.0729060808827775,1.2383838658243163,2.119037158270545,0.24342857142857144,0.22083936391484824,1.1022879576959532,1.931611667972555,91.05142857142854,強,やや強
競馬場×クッション値階層,中山×高,母母父ブロック,地極極,1231,0.07148659626320066,0.07715710890934377,0.9265069320727695,-0.8058890265107269,0.20633631194151097,0.22701135195400834,0.9089250831091211,-2.1055361979436658,68.31844029244516,中立,やや弱
競馬場×クッション値階層,新潟×やや低,母父ブロック,地極極,765,0.06535947712418301,0.06972594759256326,0.9373766779923123,-0.5148695001017528,0.1803921568627451,0.20601719026012763,0.8756170134879178,-2.0979799292777623,52.771241830065364,中立,弱
競馬場×クッション値階層,新潟×標準,母父ブロック,極極極,705,0.07234042553191489,0.06985357299905573,1.0356009353006577,0.2777463325157379,0.23546099290780143,0.2091274095556789,1.1259212429784884,2.048135148022568,126.80851063829783,中立,強
競馬場×クッション値階層,中山×高,父ブロック,地極地,524,0.03816793893129771,0.05678529899067256,0.6721447207237052,-1.968494961547186,0.16412213740458015,0.1757627322232022,0.9337709725413259,-0.8454777253157787,43.60687022900763,やや弱,中立
競馬場×クッション値階層,東京×標準,父ブロック,極極地,782,0.07544757033248081,0.09390359967720567,0.803457701215208,-1.940622957849264,0.24808184143222506,0.2728089827896087,0.9093609707989224,-1.9463001859327902,78.04347826086956,やや弱,やや弱
競馬場×クッション値階層,京都×高,母父ブロック,極極極,933,0.04715969989281887,0.06139411099269535,0.7681469627995738,-1.9234526503161742,0.18006430868167203,0.19258498216228737,0.9349862417098316,-1.1465268516153688,64.58735262593784,やや弱,中立
競馬場×クッション値階層,小倉×低,母父ブロック,極極極,708,0.052259887005649715,0.06446799013979054,0.8106331047754223,-1.4084841201349654,0.17231638418079095,0.1961086037905095,0.8786783488850174,-1.8596034721639243,30.46610169491525,中立,やや弱
競馬場×クッション値階層,小倉×低,母母父ブロック,極極極,1456,0.07623626373626374,0.06851320133524612,1.1127237123722686,1.2387698196235135,0.2239010989010989,0.20697684557044974,1.081768824353295,1.859304958152758,85.59065934065934,中立,やや強
競馬場×クッション値階層,札幌×低,父ブロック,極極地,693,0.06060606060606061,0.0775013289639996,0.7820002755593124,-1.773080048906422,0.2077922077922078,0.23313788373391892,0.8912846100523147,-1.855312979451645,63.102453102453104,やや弱,やや弱
競馬場×クッション値階層,札幌×低,父ブロック,地バ極,1446,0.08852005532503458,0.08208278871513706,1.0784240729471026,0.9552899187017925,0.26556016597510373,0.2479204297785546,1.071150797101736,1.8489132692790682,98.5477178423236,中立,やや強
競馬場×クッション値階層,小倉×低,母父ブロック,極極地,788,0.08883248730964467,0.07307420886573625,1.2156476093071644,1.8036207593847255,0.23223350253807107,0.21989568578153185,1.0561075889810632,0.9805488701173622,138.7309644670051,やや強,中立
競馬場×クッション値階層,中京×低,母母父ブロック,極極極,794,0.08438287153652393,0.06926767741292184,1.2182142478012747,1.7966105322207557,0.21914357682619648,0.2100932655762024,1.0430775885422727,0.7450541950153589,67.48110831234257,やや強,中立
競馬場×クッション値階層,福島×やや低,父ブロック,地バ極,994,0.09456740442655935,0.0802247535973482,1.1787808648337843,1.7885356208079801,0.2535211267605634,0.2357129476987851,1.075550279420947,1.5855697403632758,132.26358148893357,やや強,やや強
競馬場×クッション値階層,福島×やや低,父ブロック,地地地,1001,0.054945054945054944,0.06789880021827349,0.8092198207983603,-1.731775535298961,0.19880119880119881,0.20722527225743742,0.9593482331355156,-0.7664823032600981,44.05594405594406,やや弱,中立
競馬場×クッション値階層,小倉×やや低,父ブロック,地バ極,1104,0.07427536231884058,0.07915319356626616,0.938374801727464,-0.6439969456761719,0.21829710144927536,0.23685076805361044,0.9216651617522493,-1.7299815167719288,64.81884057971018,中立,やや弱
競馬場×クッション値階層,中京×高,父ブロック,地地地,1482,0.0883940620782726,0.07730410136219311,1.143458891839641,1.7242251565420736,0.22199730094466938,0.2311265407703831,0.9605011185851505,-1.0062349499058807,63.09716599190279,やや強,中立
競馬場×クッション値階層,札幌×低,父ブロック,地地地,1686,0.09252669039145907,0.08191077405207335,1.1296034186252084,1.7158215027969002,0.24970344009489917,0.2444664716533554,1.0214220314390172,0.5994265563540873,86.4531435349941,やや強,中立
