ブロック,方向,信頼度,条件,3枝パターン,出走数,勝率,市場期待勝率,勝A_E,勝z,複勝率,市場期待複勝率,複勝A_E,複勝z,単勝回収率,勝期待判定,複勝期待判定,総合強度
母父ブロック,プラス,B,中京×1600×芝,極極地,1064,0.08458646616541353,0.07505672276000944,1.1269672196569924,1.2631801833886147,0.24342105263157895,0.22723095416836953,1.0712495290197706,1.5079761898213484,93.12969924812026,中立,やや強,1.5079761898213484
母父ブロック,マイナス,C,阪神×1200×ダ,バ極極,368,0.03804347826086957,0.07479453828568303,0.5086397901884201,-2.895132180552932,0.1766304347826087,0.221791759567189,0.7963796090859758,-2.5470637264097404,31.168478260869563,弱,弱,2.895132180552932
母父ブロック,マイナス,B,新潟×1000×芝,極極極,537,0.054003724394785846,0.06751667070541684,0.799857632649134,-1.3185132060747617,0.1601489757914339,0.19909027692027728,0.8044038024798326,-2.614519116334098,34.15270018621974,中立,弱,2.614519116334098
母父ブロック,マイナス,B,小倉×2000×芝,極極極,772,0.046632124352331605,0.06618787377697032,0.7045418094176185,-2.3342604134754916,0.19170984455958548,0.20149845780638595,0.9514209024060817,-0.800114726083187,46.0880829015544,弱,中立,2.3342604134754916
母父ブロック,マイナス,B,中山×1200×ダ,極地極,535,0.05420560747663551,0.058414892410549535,0.9279415785904308,-0.44484352036117325,0.14953271028037382,0.17845192664138398,0.8379439387105858,-2.0874757463857,54.990654205607484,中立,弱,2.0874757463857
母父ブロック,マイナス,B,新潟×1800×ダ,極極地,1839,0.059271343121261554,0.07079153724660336,0.8372659420403453,-2.054990177662719,0.20663404023926046,0.21482288222446533,0.9618809602570714,-1.0128327910993358,57.30831973898861,弱,中立,2.054990177662719
母父ブロック,マイナス,B,東京×2100×ダ,極極極,880,0.06136363636363636,0.06992532333377025,0.8775595655201063,-1.0779789455798836,0.18409090909090908,0.2063841878315411,0.8919816533676084,-1.9730618775432789,77.57954545454545,中立,やや弱,1.9730618775432789
母父ブロック,マイナス,C,東京×2000×芝,地極極,354,0.07627118644067797,0.08088758374809665,0.9429282333145806,-0.34676353373395946,0.211864406779661,0.24760085378837096,0.8556691285109439,-1.9526297507674009,67.25988700564972,中立,やや弱,1.9526297507674009
母父ブロック,マイナス,B,京都×1800×ダ,地極極,720,0.059722222222222225,0.07666995001309154,0.7789521476409538,-1.849808775692298,0.225,0.23421005823270893,0.9606760772692439,-0.7120592735715953,53.93055555555555,やや弱,中立,1.849808775692298
母父ブロック,マイナス,B,中山×1800×ダ,極極地,3453,0.06168549087749783,0.06887627651428685,0.8955985137306682,-1.8110146171833703,0.19837822183608456,0.20837859329432976,0.95200864301776,-1.7530836129178187,66.92441355343178,やや弱,中立,1.8110146171833703
母父ブロック,マイナス,B,中山×1600×芝,地極極,604,0.052980132450331126,0.062363827744471405,0.8495330444983447,-1.0248363866387398,0.17052980132450332,0.19299696011733522,0.8835880172455945,-1.6803172689794932,29.35430463576159,中立,やや弱,1.6803172689794932
母父ブロック,マイナス,C,函館×1000×ダ,極極極,313,0.0670926517571885,0.08846945315968992,0.7583708202206735,-1.432813843566558,0.23003194888178913,0.2643171521041453,0.8702876338163359,-1.6611653839618732,74.31309904153353,中立,やや弱,1.6611653839618732
母父ブロック,マイナス,B,東京×1400×ダ,極極地,2423,0.062319438712340074,0.06585926806317932,0.9462516141624371,-0.7614549101144195,0.18365662401981014,0.1944868663832886,0.9443137597675385,-1.6407632994102217,54.927775484936014,中立,やや弱,1.6407632994102217
母父ブロック,マイナス,C,中山×2000×芝,地極極,454,0.05066079295154185,0.06759060344155707,0.7495241996965782,-1.5568426877829185,0.20044052863436124,0.20316947238148575,0.9865681407982374,-0.17677645933011635,33.370044052863435,やや弱,中立,1.5568426877829185
母父ブロック,マイナス,B,中京×1600×芝,極極極,744,0.05913978494623656,0.06960722023690688,0.8496214149186736,-1.199469042350892,0.19489247311827956,0.21412309496380574,0.9101889413247234,-1.537132512642094,52.66129032258065,中立,やや弱,1.537132512642094
母父ブロック,マイナス,B,新潟×1800×ダ,地極極,797,0.06148055207026349,0.07211425062760919,0.8525437279760826,-1.2476253832421533,0.19698870765370138,0.2157912353903197,0.9128670462328621,-1.531270369853109,63.93977415307403,中立,やや弱,1.531270369853109
母父ブロック,マイナス,B,東京×1600×ダ,地極極,1217,0.06820049301561217,0.06886025464084329,0.990418832624534,-0.09905768044364703,0.19063270336894,0.20489786642640245,0.9303791527639632,-1.5096941468332081,71.33114215283483,中立,やや弱,1.5096941468332081
母父ブロック,混合,C,東京×1600×ダ,地地極,363,0.06336088154269973,0.06279964817091609,1.0089368871980966,0.047794133043483455,0.15426997245179064,0.1933917920124903,0.7977069287502493,-2.2533791993015586,61.01928374655646,中立,弱,2.2533791993015586
母父ブロック,混合,C,中山×1800×ダ,地極地,338,0.10059171597633136,0.07230764321123888,1.3911629740505254,2.2041193830421166,0.19230769230769232,0.21016202089014546,0.9150449329197027,-0.9836176877005368,75.76923076923076,強,中立,2.2041193830421166
母父ブロック,混合,B,中山×1800×ダ,地地地,831,0.06377858002406739,0.06508957130877364,0.9798586584863627,-0.16516965260721228,0.2226233453670277,0.20026953579149814,1.1116186218097706,1.9438410420438585,43.40553549939831,中立,やや強,1.9438410420438585
母父ブロック,混合,C,中京×2200×芝,極極地,443,0.09480812641083522,0.08707649415157491,1.0887912672023954,0.6230811801114559,0.23024830699774265,0.26068978768999257,0.8832271836883371,-1.7929906860799214,64.35665914221218,中立,やや弱,1.7929906860799214
母父ブロック,混合,B,小倉×1200×芝,地地地,532,0.07518796992481203,0.07267394217763495,1.0345932485818934,0.2425279875772705,0.18421052631578946,0.20967118638565185,0.8785686268640072,-1.7410790196038781,76.05263157894736,中立,やや弱,1.7410790196038781
母父ブロック,混合,C,福島×1200×芝,地地地,379,0.047493403693931395,0.06708402030266403,0.7079689541511475,-1.60872357819132,0.23482849604221637,0.20837830101975763,1.1269335381516083,1.4742357160492368,51.688654353562,やや弱,中立,1.60872357819132
母父ブロック,混合,B,京都×1200×ダ,極極地,973,0.06372045220966084,0.07018462639731696,0.9078975764427062,-0.8541693156117545,0.2250770811921891,0.20812669455145943,1.0814426360696305,1.568681017430146,58.07810894141829,中立,やや強,1.568681017430146
