血統登録番号,馬名,父正規名,母父正規名,母母父正規名,枝1_父ブロック_父父,枝2_父ブロック_母父,枝3_父ブロック_母母父,枝4_母父ブロック_父父,枝5_母父ブロック_母父,枝6_母父ブロック_母母父,枝7_母母父ブロック_父父,枝8_母母父ブロック_母父,枝9_母母父ブロック_母母父,現代馬9枝シグネチャ
2020102916,チャクラバーディ,スピルバーグ,Gio Ponti,Unbridled,地,バ,極,地,極,極,極,極,極,地・バ・極｜地・極・極｜極・極・極
2020105040,エコロヴィーガ,ベストウォーリア,キングヘイロー,ロイヤルアカデミー2,バ,極,地,バ,極,極,地,極,極,バ・極・地｜バ・極・極｜地・極・極
2020106982,ヨロ,ディスクリートキャット,フレンチデピュティ,エンドスウィープ,地,バ,極,バ,極,極,極,極,極,地・バ・極｜バ・極・極｜極・極・極
2020106441,ワクワクルンルン,ウインバリアシオン,パイロ,キンググローリアス,地,地,バ,バ,極,極,極,極,極,地・地・バ｜バ・極・極｜極・極・極
2020101739,サルフトピッチ,メイショウボーラー,マイネルラヴ,Nashwan,バ,バ,地,極,極,極,極,極,極,バ・バ・地｜極・極・極｜極・極・極
2020101832,シナジーエフェクト,パイロ,ハードスパン,Seeking the Gold,バ,極,極,地,バ,極,極,極,極,バ・極・極｜地・バ・極｜極・極・極
2020105643,プメハナ,エスケンデレヤ,キングカメハメハ,サンデーサイレンス,地,バ,極,極,地,地,極,極,極,地・バ・極｜極・地・地｜極・極・極
2019106879,ラルスフェイス,モーリス,ネオユニヴァース,シンボリクリスエス,地,地,地,極,極,地,極,極,バ,地・地・地｜極・極・地｜極・極・バ
2019109102,メイオーシャン,キンシャサノキセキ,ロードカナロア,シンボリクリスエス,地,極,極,地,地,地,極,極,バ,地・極・極｜地・地・地｜極・極・バ
2019103030,アーストラベル,ロードカナロア,ディープインパクト,Tejano Run,地,地,地,極,極,地,極,極,極,地・地・地｜極・極・地｜極・極・極
2019101241,ステラレギア,キンシャサノキセキ,ルーラーシップ,ディープインパクト,地,極,極,地,地,地,極,極,地,地・極・極｜地・地・地｜極・極・地
2018106729,ダイメイソテツ,ロードアルティマ,スペシャルウィーク,フォーティナイナー,極,極,極,極,極,地,極,極,極,極・極・極｜極・極・地｜極・極・極
2020100373,マルティネーテ,ラブリーデイ,ヴァーミリアン,ワイルドラッシュ,地,地,地,地,地,極,バ,地,極,地・地・地｜地・地・極｜バ・地・極
2020107199,ダンスインザリング,キンシャサノキセキ,End Sweep,Danehill,地,極,極,極,極,極,地,バ,地,地・極・極｜極・極・極｜地・バ・地
2020110047,ウェイオブサクセス,New Approach,Pyro,Rahy,地,極,地,バ,極,極,極,極,極,地・極・地｜バ・極・極｜極・極・極
2020102156,サノノウォーリア,ベストウォーリア,フサイチコンコルド,ブライアンズタイム,バ,極,地,バ,極,極,極,極,地,バ・極・地｜バ・極・極｜極・極・地
2020102207,マイショウチャン,ディスクリートキャット,スペシャルウィーク,Wild Again,地,バ,極,極,極,地,地,極,極,地・バ・極｜極・極・地｜地・極・極
2020110106,アドバンスファラオ,American Pharoah,Tiznow,Devil His Due,地,地,極,極,バ,極,極,極,極,地・地・極｜極・バ・極｜極・極・極
2020106429,ノーブルミステリー,ディーマジェスティ,Mt. Livermore,Seeking the Gold,地,バ,極,極,極,極,極,極,極,地・バ・極｜極・極・極｜極・極・極
2020100144,ロードスパイラル,キタサンブラック,ダイワメジャー,Unbridled,地,バ,極,極,極,地,極,極,極,地・バ・極｜極・極・地｜極・極・極
2019101788,プレヴィア,シルバーステート,タニノギムレット,サクラユタカオー,地,バ,極,極,地,極,極,地,極,地・バ・極｜極・地・極｜極・地・極
2019105189,エフジーノット,ドゥラメンテ,Zamindar,Caerleon,地,地,地,極,極,極,地,極,極,地・地・地｜極・極・極｜地・極・極
2019103734,グランドメノウ,ザサンデーフサイチ,ジャングルポケット,Forty Niner,地,バ,地,極,地,極,極,極,極,地・バ・地｜極・地・極｜極・極・極
2019102927,アカカゲ,トゥザグローリー,タニノギムレット,スペシャルウィーク,地,地,地,極,地,極,極,極,地,地・地・地｜極・地・極｜極・極・地
2019105698,ファットーラモーレ,ザファクター,ジャングルポケット,Kingmambo,地,地,地,極,地,極,極,極,地,地・地・地｜極・地・極｜極・極・地
2019105243,カーニバルマーチ,キズナ,Include,Robyn Dancer,地,バ,極,極,極,極,極,極,極,地・バ・極｜極・極・極｜極・極・極
2019100409,フィニッシュムーヴ,ホッコータルマエ,ステイゴールド,Seattle Slew,地,地,地,極,極,極,極,極,極,地・地・地｜極・極・極｜極・極・極
