level,場所,surface,距離,距離変化区分,lead_n,first_n,win_n,LeadAdj_Raw,FirstAdj_Raw,WinAdj_Raw,LeadAdj_Prod,FirstAdj_Prod,WinAdj_Prod
COURSE,京都,ダ,1800.0,延長400m+,431,431,431,0.01521290521825186,0.021815666043294324,-0.038122861714358275,0.004759899926727079,0.017064522803375413,-0.00894607263097373
COURSE,京都,ダ,1800.0,短縮1-199,260,260,260,-0.009889718376251078,-0.06170541403275637,-0.02139967770579143,-0.0027066597661318742,-0.04221949381188594,-0.004392565423820346
COURSE,京都,ダ,1800.0,短縮200-399,334,334,334,-0.015394094239908382,-0.03471572899033065,-0.015365592030987196,-0.00453006826090696,-0.025539765380551627,-0.0033912606200548834
COURSE,京都,ダ,1800.0,短縮400m+,106,106,106,-0.046972446968413635,-0.10454822595394275,-0.0563779070236434,-0.00881252987372008,-0.0490358935890174,-0.00793282054580469
COURSE,京都,ダ,1900.0,同距離,204,204,204,0.016786096766416028,0.018458331842493014,0.006410256410256401,0.00422760955598626,0.011621912641569676,0.001210826210826209
COURSE,京都,ダ,1900.0,延長1-199,653,653,653,0.006344094544393983,0.004955061932142679,-0.00035339851572624426,0.002143696630007385,0.004185841451085601,-8.956115036322283e-05
COURSE,京都,ダ,1900.0,延長200-399,119,119,119,0.016085816654371213,0.054656323082501124,-0.0012928248222365962,0.003203702396435439,0.02721381776911144,-0.00019311232700354176
COURSE,京都,ダ,1900.0,延長400m+,42,42,42,-0.028732110516497142,0.011379746717689376,-0.07692307692307693,-0.002979626275784889,0.0029503047045861346,-0.0059829059829059825
COURSE,京都,ダ,1900.0,短縮1-199,130,130,130,-0.030197311981698602,-0.06819905970177637,0.0,-0.0062810408921933104,-0.035463511044923714,0.0
COURSE,京都,ダ,1900.0,短縮200-399,73,73,73,-0.035255267724585856,-0.0645620843366661,-0.008429926238145424,-0.00533395760392698,-0.024419855733557646,-0.0009565563969709057
COURSE,京都,ダ,1900.0,短縮400m+,42,42,42,-0.028732110516497142,-0.07700898095675257,0.08974358974358973,-0.002979626275784889,-0.019965291359158074,0.006980056980056978
COURSE,京都,芝,1200.0,同距離,772,772,772,0.0,-0.002852437195304258,0.007514963305095587,0.0,-0.0024687012497476312,0.0019511945083633831
COURSE,京都,芝,1200.0,短縮200-399,258,258,258,0.0,0.0003738115402811548,-0.018522310262000845,0.0,0.00025514121003316915,-0.0037926635298382682
COURSE,京都,芝,1200.0,短縮400m+,94,94,94,0.0,-0.00032108106128259095,-0.015718417799523522,0.0,-0.00014103560635777358,-0.002071305523114782
